Time Interval,F1,F2,F3,F4,F5,F6
2007,255,255,255,255,255,255
2008,227,231,235,239,247,251
2009,183,187,187,191,195,199
2010,151,151,155,155,159,159
2011,71,75,79,83,87,87
2012,7,11,15,15,23,23
2013,0,0,0,0,0,0
2014,0,0,0,0,0,0
2015,0,0,0,0,0,0
2016,0,0,0,0,0,0
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,3,7
2021,0,3,3,7,19,23
2022,87,87,87,83,87,87
2023,107,103,103,103,99,99
2024,99,95,91,91,87,87
2025,63,59,55,55,51,47
2026,11,3,3,0,0,0
2027,0,0,0,0,0,0
2028,0,0,0,0,0,0
2029,0,0,0,0,0,0
2030,0,0,0,0,0,0
2031,0,0,0,0,0,0
2032,0,0,0,0,0,0
2033,0,0,0,0,0,0
2034,51,67,75,83,95,103
2035,231,243,251,255,255,255
2036,255,255,255,255,255,255
2037,255,255,255,255,255,255
2038,251,243,239,235,227,223
2039,215,211,207,203,195,195
2040,203,199,199,195,191,187
2041,215,215,211,211,207,207
2042,247,251,251,251,247,247
2043,255,255,255,255,255,255
2044,255,255,255,255,255,255
2045,255,255,255,255,255,255
2046,223,223,227,231,239,243
2047,199,195,199,199,207,215
2048,171,167,167,171,175,179
2049,143,139,139,143,147,155
2050,119,119,123,123,131,139
2051,99,107,111,111,119,123
2052,67,75,79,79,87,91
2053,0,0,0,0,0,0
2054,0,0,0,0,0,0
2055,0,0,0,0,0,0
2056,0,0,0,0,0,0
2057,0,0,0,0,0,0
2058,0,0,0,0,0,0
2059,0,0,0,0,0,0
2060,0,0,0,0,0,0
2061,0,0,0,0,0,0
2062,0,0,3,11,23,31
2063,31,43,51,59,71,79
2064,59,63,71,75,83,91
2065,35,39,43,47,55,55
2066,0,0,0,3,7,7
2067,0,0,0,0,0,0
2068,0,0,0,0,0,0
2069,0,0,0,0,0,0
2070,0,0,0,0,0,0
2071,0,0,0,0,0,0
2072,0,0,0,0,0,0
2073,0,0,0,0,0,0
2074,0,0,0,0,0,0
2075,219,243,255,255,255,255
2076,255,255,255,255,255,255
2077,255,255,255,255,255,255
2078,255,255,255,255,255,255
2079,255,255,255,255,255,255
2080,255,255,255,255,255,255
2081,255,255,255,255,255,255
2082,255,255,255,255,255,255
2083,255,255,255,255,255,255
2084,255,255,255,255,255,255
2085,255,255,255,255,255,255
2086,255,255,255,255,255,255
2087,255,255,255,255,255,255
2088,255,255,255,255,255,255
2089,255,255,255,255,255,255
2090,255,255,255,255,255,255
2091,195,191,191,191,187,187
2092,95,91,87,87,83,83
2093,0,0,0,0,0,0
2094,0,0,0,0,0,0
2095,0,0,0,0,0,0
2096,0,0,0,0,0,0
2097,0,0,0,0,0,0
2098,0,0,0,0,0,0
